core.pcu, Ads7830Pop, rx_b_power_ch3, float, 1
core.pcu, Ads7830Pop, tx_a_volt_ch0, float, 1
core.pcu, Ads7830Pop, tx_a_volt_ch1, float, 1
core.pcu, Ads7830Pop, rx_a_volt_ch2, float, 1
core.pcu, Ads7830Pop, rx_b_volt_ch3, float, 1
core.pcu, I2c, unit_type, str, 1
core.pcu, I2c, m_iru, float, 1
core.pcu, I2c, ce_iru, float, 1
core.pcu, I2c, mic, float, 1
core.pcu, I2c, tx_a, float, 1
core.pcu, I2c, rx_a, float, 1
core.pcu, I2c, modem_a, float, 1
core.pcu, I2c, stt1, float, 1
core.pcu, I2c, stt2, float, 1
core.pcu, I2c, stt3, float, 1
core.pcu, I2c, stt4, float, 1
core.pcu, I2c, obc_a, float, 1
core.pcu, I2c, obc_b, float, 1
core.pcu, I2c, tx_b, float, 1
core.pcu, I2c, rx_b, float, 1
core.pcu, I2c, modem_b, float, 1
core.pcu, I2c, main, float, 1
core.pcu, I2c, gas, float, 1
core.pcu, I2c, gps1, float, 1
core.pcu, I2c, gps2, float, 1
core.pcu, I2cTmp, batt_control, float, 1
core.pcu, I2cTmp, com_power, float, 1
core.pcu, I2cTmp, obc, float, 1
core.pcu, I2cTmp, etc, float, 1
core.pcu, Pcu, sys_time, str, 1
core.pcu, Pcu, log_size, int, 1
core.pcu, Pcu, pcu_id, str, 1
core.pcu, Pcu, pulse_status, int, 8
core.pcu, Pcu, pop.Ads7830Pop.tx_a_power_ch0, float, 1
core.pcu, Pcu, pop.Ads7830Pop.tx_a_power_ch1, float, 1
core.pcu, Pcu, pop.Ads7830Pop.rx_a_power_ch2, float, 1
core.pcu, Pcu, pop.Ads7830Pop.rx_b_power_ch3, float, 1
core.pcu, Pcu, pop.Ads7830Pop.tx_a_volt_ch0, float, 1
core.pcu, Pcu, pop.Ads7830Pop.tx_a_volt_ch1, float, 1
core.pcu, Pcu, pop.Ads7830Pop.rx_a_volt_ch2, float, 1
core.pcu, Pcu, pop.Ads7830Pop.rx_b_volt_ch3, float, 1
core.pcu, Pcu, power.AdData.pcu_5v, float, 1
core.pcu, Pcu, power.AdData.other_pcu_v, float, 1
core.pcu, Pcu, power.AdData.i2c_v, float, 1
core.pcu, Pcu, tmp.I2cTmp.batt_control, float, 1
core.pcu, Pcu, tmp.I2cTmp.com_power, float, 1
core.pcu, Pcu, tmp.I2cTmp.obc, float, 1
core.pcu, Pcu, tmp.I2cTmp.etc, float, 1
core.pcu, Pcu, i2c_current.I2c.unit_type, str, 1
core.pcu, Pcu, i2c_current.I2c.m_iru, float, 1
core.pcu, Pcu, i2c_current.I2c.ce_iru, float, 1
core.pcu, Pcu, i2c_current.I2c.mic, float, 1
core.pcu, Pcu, i2c_current.I2c.tx_a, float, 1
core.pcu, Pcu, i2c_current.I2c.rx_a, float, 1
core.pcu, Pcu, i2c_current.I2c.modem_a, float, 1
core.pcu, Pcu, i2c_current.I2c.stt1, float, 1
core.pcu, Pcu, i2c_current.I2c.stt2, float, 1
core.pcu, Pcu, i2c_current.I2c.stt3, float, 1
core.pcu, Pcu, i2c_current.I2c.stt4, float, 1
core.pcu, Pcu, i2c_current.I2c.obc_a, float, 1
core.pcu, Pcu, i2c_current.I2c.obc_b, float, 1
core.pcu, Pcu, i2c_current.I2c.tx_b, float, 1
core.pcu, Pcu, i2c_current.I2c.rx_b, float, 1
core.pcu, Pcu, i2c_current.I2c.modem_b, float, 1
core.pcu, Pcu, i2c_current.I2c.main, float, 1
core.pcu, Pcu, i2c_current.I2c.gas, float, 1
core.pcu, Pcu, i2c_current.I2c.gps1, float, 1
core.pcu, Pcu, i2c_current.I2c.gps2, float, 1
core.pcu, Pcu, i2c_voltage.I2c.unit_type, str, 1
core.pcu, Pcu, i2c_voltage.I2c.m_iru, float, 1
core.pcu, Pcu, i2c_voltage.I2c.ce_iru, float, 1
core.pcu, Pcu, i2c_voltage.I2c.mic, float, 1
core.pcu, Pcu, i2c_voltage.I2c.tx_a, float, 1
core.pcu, Pcu, i2c_voltage.I2c.rx_a, float, 1
core.pcu, Pcu, i2c_voltage.I2c.modem_a, float, 1
core.pcu, Pcu, i2c_voltage.I2c.stt1, float, 1
core.pcu, Pcu, i2c_voltage.I2c.stt2, float, 1
core.pcu, Pcu, i2c_voltage.I2c.stt3, float, 1
core.pcu, Pcu, i2c_voltage.I2c.stt4, float, 1
core.pcu, Pcu, i2c_voltage.I2c.obc_a, float, 1
core.pcu, Pcu, i2c_voltage.I2c.obc_b, float, 1
core.pcu, Pcu, i2c_voltage.I2c.tx_b, float, 1
core.pcu, Pcu, i2c_voltage.I2c.rx_b, float, 1
core.pcu, Pcu, i2c_voltage.I2c.modem_b, float, 1
