djm, I2c, djm.3.over_current_info.temp_sensor, float, 1
djm, I2c, djm.3.over_current_info.mtq, float, 1
djm, I2c, djm.3.over_current_info.sas1, float, 1
djm, I2c, djm.3.over_current_info.sas2, float, 1
djm, I2c, djm.3.over_current_info.djm_i2c, float, 1
djm, I2c, djm.3.over_current_info.heater1, float, 1
djm, I2c, djm.3.over_current_info.heater2, float, 1
djm, I2c, djm.3.over_current_info.heater3, float, 1
djm, I2c, djm.3.over_current_info.heater4, float, 1
djm, I2c, djm.3.over_current_info.hdrm1, float, 1
djm, I2c, djm.3.over_current_info.hdrm2, float, 1
djm, Sas, djm.3.sas1.x_angle, float, 1
djm, Sas, djm.3.sas1.y_angle, float, 1
djm, Sas, djm.3.sas1.tmp, float, 1
djm, Sas, djm.3.sas1.gain, int, 1
djm, Sas, djm.3.sas1.x_peak, int, 1
djm, Sas, djm.3.sas1.y_peak, int, 1
djm, Sas, djm.3.sas1.sensor_gain_mode, str, 1
djm, Sas, djm.3.sas1.error_chk, str, 1
djm, Sas, djm.3.sas1.timestamp, str, 1
djm, Sas, djm.3.sas2.x_angle, float, 1
djm, Sas, djm.3.sas2.y_angle, float, 1
djm, Sas, djm.3.sas2.tmp, float, 1
djm, Sas, djm.3.sas2.gain, int, 1
djm, Sas, djm.3.sas2.x_peak, int, 1
djm, Sas, djm.3.sas2.y_peak, int, 1
djm, Sas, djm.3.sas2.sensor_gain_mode, str, 1
djm, Sas, djm.3.sas2.error_chk, str, 1
djm, Sas, djm.3.sas2.timestamp, str, 1
djm, Djm, djm.3.time_stamp, str, 1
djm, Djm, djm.3.djm_version, str, 1
djm, Djm, djm.3.build_time, str, 1
djm, Djm, djm.3.build_date, str, 1
djm, Djm, djm.3.terminal_log, str, 1
djm, Djm, djm.3.checksum, int, 1
djm, Djm, djm.4.djm_id, int, 1
djm, Djm, djm.4.systime, str, 1
djm, Djm, djm.4.log_size, int, 1
djm, Djm, djm.4.hk_djm_id, int, 1
djm, Djm, djm.4.string_v.1, float, 1
djm, Djm, djm.4.string_v.2, float, 1
djm, Djm, djm.4.string_v.3, float, 1
djm, Djm, djm.4.string_v.4, float, 1
djm, Djm, djm.4.string_v.5, float, 1
djm, Djm, djm.4.string_v.6, float, 1
djm, Djm, djm.4.string_v.7, float, 1
djm, Djm, djm.4.string_v.8, float, 1
djm, Djm, djm.4.pulse_status.1, int, 1
djm, Djm, djm.4.pulse_status.2, int, 1
djm, Djm, djm.4.pulse_status.3, int, 1
djm, Djm, djm.4.pulse_status.4, int, 1
djm, Djm, djm.4.sap_panel_v, float, 1
djm, Djm, djm.4.sap_panel_i, float, 1
djm, Djm, djm.4.i2c_sas_power, float, 1
djm, Djm, djm.4.tmp, float, 1
djm, Djm, djm.4.ads1115_temp.1, float, 1
djm, Djm, djm.4.ads1115_temp.2, float, 1
djm, Djm, djm.4.ads1115_temp.3, float, 1
djm, Djm, djm.4.ads1115_temp.4, float, 1
djm, Djm, djm.4.ads1115_temp.5, float, 1
djm, Djm, djm.4.ads1115_temp.6, float, 1
djm, Djm, djm.4.ads1115_temp.7, float, 1
djm, Djm, djm.4.ads1115_temp.8, float, 1
djm, Djm, djm.4.ads1115_temp.9, float, 1
djm, Djm, djm.4.ads1115_temp.10, float, 1
djm, I2c, djm.4.i2c_current.unit_type, str, 1
djm, I2c, djm.4.i2c_current.cpu_i2c_origin, float, 1
djm, I2c, djm.4.i2c_current.djm_15, float, 1
djm, I2c, djm.4.i2c_current.temp_sensor, float, 1
djm, I2c, djm.4.i2c_current.mtq, float, 1
djm, I2c, djm.4.i2c_current.sas1, float, 1
djm, I2c, djm.4.i2c_current.sas2, float, 1
djm, I2c, djm.4.i2c_current.djm_i2c, float, 1
djm, I2c, djm.4.i2c_current.heater1, float, 1
djm, I2c, djm.4.i2c_current.heater2, float, 1
djm, I2c, djm.4.i2c_current.heater3, float, 1
djm, I2c, djm.4.i2c_current.heater4, float, 1
djm, I2c, djm.4.i2c_current.hdrm1, float, 1
djm, I2c, djm.4.i2c_current.hdrm2, float, 1
djm, I2c, djm.4.i2c_voltage.unit_type, str, 1
djm, I2c, djm.4.i2c_voltage.cpu_i2c_origin, float, 1
djm, I2c, djm.4.i2c_voltage.djm_15, float, 1
djm, I2c, djm.4.i2c_voltage.temp_sensor, float, 1
djm, I2c, djm.4.i2c_voltage.mtq, float, 1
djm, I2c, djm.4.i2c_voltage.sas1, float, 1
djm, I2c, djm.4.i2c_voltage.sas2, float, 1
djm, I2c, djm.4.i2c_voltage.djm_i2c, float, 1
djm, I2c, djm.4.i2c_voltage.heater1, float, 1
djm, I2c, djm.4.i2c_voltage.heater2, float, 1
djm, I2c, djm.4.i2c_voltage.heater3, float, 1
djm, I2c, djm.4.i2c_voltage.heater4, float, 1
djm, I2c, djm.4.i2c_voltage.hdrm1, float, 1
djm, I2c, djm.4.i2c_voltage.hdrm2, float, 1
djm, I2c, djm.4.over_current_info.unit_type, str, 1
djm, I2c, djm.4.over_current_info.cpu_i2c_origin, float, 1
djm, I2c, djm.4.over_current_info.djm_15, float, 1
djm, I2c, djm.4.over_current_info.temp_sensor, float, 1
djm, I2c, djm.4.over_current_info.mtq, float, 1
djm, I2c, djm.4.over_current_info.sas1, float, 1
djm, I2c, djm.4.over_current_info.sas2, float, 1
djm, I2c, djm.4.over_current_info.djm_i2c, float, 1
djm, I2c, djm.4.over_current_info.heater1, float, 1
djm, I2c, djm.4.over_current_info.heater2, float, 1
djm, I2c, djm.4.over_current_info.heater3, float, 1
djm, I2c, djm.4.over_current_info.heater4, float, 1
djm, I2c, djm.4.over_current_info.hdrm1, float, 1
djm, I2c, djm.4.over_current_info.hdrm2, float, 1
djm, Sas, djm.4.sas1.x_angle, float, 1
djm, Sas, djm.4.sas1.y_angle, float, 1
djm, Sas, djm.4.sas1.tmp, float, 1
djm, Sas, djm.4.sas1.gain, int, 1
djm, Sas, djm.4.sas1.x_peak, int, 1
djm, Sas, djm.4.sas1.y_peak, int, 1
djm, Sas, djm.4.sas1.sensor_gain_mode, str, 1
djm, Sas, djm.4.sas1.error_chk, str, 1
djm, Sas, djm.4.sas1.timestamp, str, 1
djm, Sas, djm.4.sas2.x_angle, float, 1
